year,total
1980,51454266527
1981,49938200947
1982,49599772154
1983,49490824442
1984,51095729287
1985,52724197443
1986,54062996750
1987,55432795657
1988,57362016946
1989,58477796058
1990,58561109474
1991,58968859462
1992,57830697576
1993,57664544081
1994,58251833450
1995,59308766781
1996,60592015972
1997,61346687788
1998,61455460572
1999,61501461784
2000,63142083491
2001,64545198190
2002,65385061707
2003,68598883674
2004,71609395740
2005,73924911898
2006,76316780616
2007,77697425502
2008,79909479940
2009,78673014908
2010,82381091860
2011,85243609938
2012,86650795328
2013,87007446550
2014,87620961326
2015,87686547898
2016,88249617532
2017,89472750830
